2020-12-24 15:15:04,101 INFO    MainThread:23672 [internal.py:wandb_internal():63] W&B internal server running at pid: 23672
2020-12-24 15:15:04,104 INFO    WriterThread:23672 [datastore.py:open_for_write():76] open: D:\2020-2\비즈니스애널리틱스\논문리뷰\MixMatch-with-pytorch\wandb\run-20201224_151500-2g7tv3l2\run-2g7tv3l2.wandb
2020-12-24 15:15:04,104 DEBUG   HandlerThread:23672 [handler.py:handle_request():55] handle_request: check_version
2020-12-24 15:15:04,106 DEBUG   SenderThread:23672 [sender.py:send():90] send: header
2020-12-24 15:15:04,107 DEBUG   SenderThread:23672 [sender.py:send():90] send: request
2020-12-24 15:15:04,107 DEBUG   SenderThread:23672 [sender.py:send_request():99] send_request: check_version
2020-12-24 15:15:04,113 DEBUG   Thread-13 :23672 [connectionpool.py:_new_conn():943] Starting new HTTPS connection (1): pypi.org:443
2020-12-24 15:15:04,238 DEBUG   Thread-13 :23672 [connectionpool.py:_make_request():442] https://pypi.org:443 "GET /pypi/wandb/json HTTP/1.1" 200 52216
2020-12-24 15:15:04,276 DEBUG   SenderThread:23672 [sender.py:send():90] send: run
2020-12-24 15:15:04,297 DEBUG   SenderThread:23672 [util.py:is_cygwin_git():315] Failed checking if running in CYGWIN due to: FileNotFoundError(2, '지정된 파일을 찾을 수 없습니다', None, 2, None)
2020-12-24 15:15:04,302 DEBUG   SenderThread:23672 [cmd.py:execute():719] Popen(['git', 'cat-file', '--batch-check'], cwd=D:\2020-2\비즈니스애널리틱스\논문리뷰\MixMatch-with-pytorch, universal_newlines=False, shell=None, istream=<valid stream>)
2020-12-24 15:15:04,373 DEBUG   SenderThread:23672 [connectionpool.py:_new_conn():943] Starting new HTTPS connection (1): api.wandb.ai:443
2020-12-24 15:15:04,608 DEBUG   SenderThread:23672 [connectionpool.py:_make_request():442] https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2020-12-24 15:15:04,618 DEBUG   HandlerThread:23672 [handler.py:handle_request():55] handle_request: run_start
2020-12-24 15:15:04,621 INFO    SenderThread:23672 [dir_watcher.py:__init__():165] watching files in: D:\2020-2\비즈니스애널리틱스\논문리뷰\MixMatch-with-pytorch\wandb\run-20201224_151500-2g7tv3l2\files
2020-12-24 15:15:04,621 INFO    SenderThread:23672 [sender.py:_start_run_threads():490] run started: 2g7tv3l2 with start time 1608790503
2020-12-24 15:15:04,621 DEBUG   SenderThread:23672 [sender.py:send():90] send: summary
2020-12-24 15:15:04,622 INFO    SenderThread:23672 [sender.py:_save_file():568] saving file wandb-summary.json with policy end
2020-12-24 15:15:04,650 DEBUG   HandlerThread:23672 [cmd.py:execute():719] Popen(['git', 'cat-file', '--batch-check'], cwd=D:\2020-2\비즈니스애널리틱스\논문리뷰\MixMatch-with-pytorch, universal_newlines=False, shell=None, istream=<valid stream>)
2020-12-24 15:15:04,710 DEBUG   HandlerThread:23672 [cmd.py:execute():719] Popen(['git', 'rev-parse', '--show-toplevel'], cwd=D:\2020-2\비즈니스애널리틱스\논문리뷰\MixMatch-with-pytorch, universal_newlines=False, shell=None, istream=None)
2020-12-24 15:15:05,176 DEBUG   SenderThread:23672 [sender.py:send():90] send: files
